id;order_date;quantity;unit;order_status
1;2022-08-15T22:44:05;32217;input synthesize Orchestrator;Marks salmon
2;2022-08-15T12:12:13;77186;Berkshire Buckinghamshire;Auto Salad open-source
3;2022-08-15T13:27:32;47168;integrate e-commerce;Rial Slovenia Cotton
4;2022-08-16T06:51:09;14754;Virginia Finland;Jewelery
5;2022-08-16T07:18:58;38593;olive Response Auto;Grove client-server
6;2022-08-16T03:09:12;45390;transitional;Brand
7;2022-08-15T17:57:32;36493;Legacy Hryvnia Health;Table Plains
8;2022-08-15T16:38:51;78745;connecting Pizza interfaces;Web even-keeled
9;2022-08-15T23:05:49;27235;Lats quantifying;bypassing Table Specialist
10;2022-08-15T11:07:26;33363;initiatives Personal hacking;Bacon Tasty Computer
